"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"OF","Seth Smith",3500,"Sea@Oak 10:05PM ET",7.087,"Sea"
"1B/OF","Mark Canha",3500,"Sea@Oak 10:05PM ET",4.500,"Oak"
"OF","Khris Davis",3300,"Sea@Oak 10:05PM ET",5.417,"Oak"
"OF","Gerardo Parra",3300,"Col@SD 10:10PM ET",9.043,"Col"
"2B","Cory Spangenberg",3300,"Col@SD 10:10PM ET",6.429,"SD"
"OF","Franklin Gutierrez",3200,"Sea@Oak 10:05PM ET",2.750,"Sea"
"1B","Billy Butler",3200,"Sea@Oak 10:05PM ET",2.846,"Oak"
"3B","Danny Valencia",3200,"Sea@Oak 10:05PM ET",5.286,"Oak"
"OF","Coco Crisp",3100,"Sea@Oak 10:05PM ET",7.095,"Oak"
"OF","Melvin Upton Jr.",3100,"Col@SD 10:10PM ET",7.240,"SD"
"C","Stephen Vogt",3100,"Sea@Oak 10:05PM ET",6.136,"Oak"
"SS","Marcus Semien",3100,"Sea@Oak 10:05PM ET",6.077,"Oak"
"OF","Manuel Margot",3100,"Col@SD 10:10PM ET",0,"SD"
"1B","Dae-Ho Lee",3000,"Sea@Oak 10:05PM ET",4.077,"Sea"
"2B/3B","Chris Coghlan",3000,"Sea@Oak 10:05PM ET",5.348,"Oak"
"OF","Jabari Blash",3000,"Col@SD 10:10PM ET",1.353,"SD"
"1B","Yonder Alonso",3000,"Sea@Oak 10:05PM ET",3.708,"Oak"
"1B","Mark Reynolds",2900,"Col@SD 10:10PM ET",6.950,"Col"
"2B","Jed Lowrie",2900,"Sea@Oak 10:05PM ET",6.000,"Oak"
"OF","Leonys Martin",2900,"Sea@Oak 10:05PM ET",5.957,"Sea"
"C","Josh Phegley",2900,"Sea@Oak 10:05PM ET",4.778,"Oak"
"2B","DJ LeMahieu",2900,"Col@SD 10:10PM ET",7.909,"Col"
"OF","Ryan Raburn",2800,"Col@SD 10:10PM ET",6.333,"Col"
"C","Chris Iannetta",2800,"Sea@Oak 10:05PM ET",5.000,"Sea"
"OF","Sam Fuld",2800,"Sea@Oak 10:05PM ET",0,"Oak"
"C","Nick Hundley",2800,"Col@SD 10:10PM ET",7.909,"Col"
"C","Derek Norris",2800,"Col@SD 10:10PM ET",3.773,"SD"
"1B/3B","Yangervis Solarte",2800,"Col@SD 10:10PM ET",7.600,"SD"
"SS","Alexei Ramirez",2800,"Col@SD 10:10PM ET",5.520,"SD"
"OF","Jon Jay",2700,"Col@SD 10:10PM ET",6.208,"SD"
"C","Steve Clevenger",2700,"Sea@Oak 10:05PM ET",4.857,"Sea"
"1B","Brett Wallace",2700,"Col@SD 10:10PM ET",2.250,"SD"
"C","Mike Zunino",2700,"Sea@Oak 10:05PM ET",0,"Sea"
"OF","Travis Jankowski",2700,"Col@SD 10:10PM ET",1.895,"SD"
"1B/OF","Ben Paulsen",2500,"Col@SD 10:10PM ET",5.000,"Col"
"2B","Eric Sogard",2400,"Sea@Oak 10:05PM ET",0,"Oak"
"2B/SS","Daniel Descalso",2400,"Col@SD 10:10PM ET",0,"Col"
"C","Christian Bethancourt",2400,"Col@SD 10:10PM ET",3.875,"SD"
"C","Tony Wolters",2400,"Col@SD 10:10PM ET",4.067,"Col"
"C","Dustin Garneau",2300,"Col@SD 10:10PM ET",8.667,"Col"
"2B/SS","Luis Sardinas",2300,"Sea@Oak 10:05PM ET",4.000,"Sea"
"SS","Alexi Amarista",2200,"Col@SD 10:10PM ET",5.875,"SD"
"OF","Brandon Barnes",2100,"Col@SD 10:10PM ET",2.412,"Col"
"C","Austin Hedges",2100,"Col@SD 10:10PM ET",0,"SD"
"3B","Adam Rosales",2000,"Col@SD 10:10PM ET",4.778,"SD"
"2B/SS","Justin Sellers",2000,"Col@SD 10:10PM ET",0,"SD"
"C","Jesus Sucre",2000,"Sea@Oak 10:05PM ET",0,"Sea"
"2B","Jemile Weeks",2000,"Col@SD 10:10PM ET",3.727,"SD"
"2B/OF","Tyler Ladendorf",2000,"Sea@Oak 10:05PM ET",0.667,"Oak"
"1B","Josh Satin",2000,"Col@SD 10:10PM ET",0,"SD"
"2B/SS","Cristhian Adames",2000,"Col@SD 10:10PM ET",1.368,"Col"
"2B","Taylor Lindsey",2000,"Col@SD 10:10PM ET",0,"SD"
"OF","Hunter Renfroe",2000,"Col@SD 10:10PM ET",0,"SD"
